from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,profile_image_url,embed_img
reneedesigner,Kicked it! Rocked my presentation! #unAEL13,Sun Jul 28 20:27:07 +0000 2013,28/7/2013 21:27,,en,,207648907,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
Thrasymachus,"“@coachk: Cool typography #PechaKucha session by Lukas. Humor, pacing, fun information. #unAEL13” @jillcompher",Sun Jul 28 20:22:07 +0000 2013,28/7/2013 21:22,,en,coachk,20930026,3.62E+17,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
CALCondor,Having fun at Adobe #unAEL13 unconference. Great hosts and awesome group of global Education Leaders.,Sun Jul 28 20:21:40 +0000 2013,28/7/2013 21:21,,en,,9494002,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,"Judy talks ""Coolest Thing I've Done with Adobe"" during Pechakucha preso's.  #unAEL13 http://t.co/Qkc51bIpPE",Sun Jul 28 20:19:54 +0000 2013,28/7/2013 21:19,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
coachk,"Cool typography #PechaKucha session by Lukas. Humor, pacing, fun information. #unAEL13",Sun Jul 28 20:18:43 +0000 2013,28/7/2013 21:18,,en,,3539791,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
ncd3,Renaldo Lawrence requires students to use Twitter &amp; responds to questions same way. Causes students to think thru &amp; be concise. #unAEL13,Sun Jul 28 20:15:22 +0000 2013,28/7/2013 21:15,,en,,14520573,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
TamraDollar,"RT @coachk: #unAEL13 Presentation tip: no more than 3 concepts, 3 ideas, or 3 facts. You lose the audience after that.",Sun Jul 28 20:12:21 +0000 2013,28/7/2013 21:12,,en,,512712265,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
reneedesigner,Haiku deck--just do it! A new way to present. #unAEL13,Sun Jul 28 20:12:15 +0000 2013,28/7/2013 21:12,,en,,207648907,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,RT @matt_clasener: Did a showcase of our Animation students work and the #GLR way of animation :) at the #unael13 during the animation sess…,Sun Jul 28 20:11:49 +0000 2013,28/7/2013 21:11,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,"Lukas  talks ""Letters"" during Pechakucha preso's.  #unAEL13 http://t.co/FkdXvUAtWu",Sun Jul 28 20:11:27 +0000 2013,28/7/2013 21:11,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
burcuaybat,"Savage Interactive Pty Ltd: Procreate – Sketch, paint, create. Check it out! #unAEL13 https://t.co/c7wo9O4PU4",Sun Jul 28 20:11:18 +0000 2013,28/7/2013 21:11,,en,,115590631,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
ncd3,"Lieve Weymeis about flipped classroom. She creates digital assets (Captivate, Presenter) &amp; students work in self-led teams. #unAEL13",Sun Jul 28 20:09:34 +0000 2013,28/7/2013 21:09,,en,,14520573,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
clschultz,#unAEL13 learning Adobe Muse - awesome!,Sun Jul 28 20:09:21 +0000 2013,28/7/2013 21:09,,en,,17812663,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
coachk,"#unAEL13 Presentation tip: no more than 3 concepts, 3 ideas, or 3 facts. You lose the audience after that.",Sun Jul 28 20:08:23 +0000 2013,28/7/2013 21:08,,en,,3539791,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
clschultz,RT @armsdan: Give me a retweet if you'd like these images in our resources!  #unael13 http://t.co/WxXyOQ75pk,Sun Jul 28 20:06:49 +0000 2013,28/7/2013 21:06,,en,,17812663,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
coachk,#PechaKucha sessions #unAEL13 #love this format! Listening to Bob talk about storytelling while… http://t.co/VkEyCnrKkI,Sun Jul 28 20:05:52 +0000 2013,28/7/2013 21:05,"loc: 37.33100653,-121.8938455",en,,3539791,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
matt_clasener,Did a showcase of our Animation students work and the #GLR way of animation :) at the #unael13 during the animation session Peter French!,Sun Jul 28 20:05:03 +0000 2013,28/7/2013 21:05,,en,,46607552,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,"Robert talks ""Presentations"" during Pechakucha preso's.  #unAEL13 http://t.co/0fbR4peUxe",Sun Jul 28 20:03:53 +0000 2013,28/7/2013 21:03,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
prof2go,@openclssrm @iusher @AdobeEdu My kids have a problem with me using their fave socmedia tool...means I'm on the right track! #unAEL13,Sun Jul 28 20:01:43 +0000 2013,28/7/2013 21:01,,en,openclssrm,976670742,3.61E+17,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
webspaceinvader,PechaKucha sessions rock #unael13 http://t.co/ZIVWUofTst to find out more,Sun Jul 28 20:00:57 +0000 2013,28/7/2013 21:00,,en,,20772444,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,RT @armsdan: Give me a retweet if you'd like these images in our resources!  #unael13 http://t.co/WxXyOQ75pk,Sun Jul 28 19:58:37 +0000 2013,28/7/2013 20:58,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,"Renee talks ""Adventures to AEL Camp"" during Pechakucha preso's.  #unAEL13 http://t.co/HvTh2wVgTz",Sun Jul 28 19:58:22 +0000 2013,28/7/2013 20:58,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
armsdan,Give me a retweet if you'd like these images in our resources!  #unael13 http://t.co/WxXyOQ75pk,Sun Jul 28 19:52:42 +0000 2013,28/7/2013 20:52,,en,,162408678,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
pipcleaves,RT @smr10: Pecha kucha useful format. 6 mins 40 sec. 20 sec per slide.  No stops. Cool! #unael13 #ael13,Sun Jul 28 19:48:48 +0000 2013,28/7/2013 20:48,,en,,30757847,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
