id,tweet_text,date_created,twitter_name,real_name,profile_pic,embedded_pic
601,Why? 😭😂😅 Kahit sa Yatch Club lang! #AdSummitPH #AdSummitPilipinas #AdSummit2014,Fri May 09 17:35:32 +0000 2014,ronecrisostomo,Rone Crisostomo,https://pbs.twimg.com/profile_images/457888203207221248/oGMtYbMW_normal.jpeg,
602,The #SolarLIVE party is still kicking! #AdSummitPH #LiveEDM http://t.co/qyDMhBaogR,Fri May 09 17:36:59 +0000 2014,ADSummitPH,AD Summit Pilipinas,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_normal.png,http://pbs.twimg.com/media/BnNgjLSIUAE6q9g.jpg
603,The #SolarLIVE party is still kicking! #AdSummitPH #LiveEDM http://t.co/qyDMhBaogR,Fri May 09 17:36:59 +0000 2014,ADSummitPH,AD Summit Pilipinas,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_normal.png,http://pbs.twimg.com/media/BnNgjLSIUAE6q9g.jpg
604,"http://t.co/Oxw189IhZk
 My TEDDYbear &lt;3 \m/ #AdSummitPH",Fri May 09 17:38:04 +0000 2014,AvvieReyes,Avvie Yvonne Reyes,https://pbs.twimg.com/profile_images/456244674684919809/LXSnZ75N_normal.jpeg,http://photos-d.ak.instagram.com/hphotos-ak-frc/10358275_639217722822827_1506226671_n.jpg
605,"Goodmorning and Goodnight :) #AdSummitPH 
Later @BamboomusicIive at #HimalaSaBuhangin.:)

Time to Sleep :)",Fri May 09 17:39:53 +0000 2014,lovekosiBamboo,CamilleJoySuarez,https://pbs.twimg.com/profile_images/463226346915647488/oHyIMjZk_normal.jpeg,
606,Just look at that #LiveEDM stage! #AdSummitPH #SolarLIVE http://t.co/4CAY9AwwQH,Fri May 09 17:42:05 +0000 2014,ADSummitPH,AD Summit Pilipinas,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_normal.png,http://pbs.twimg.com/media/BnNht9JIEAAbb87.jpg
607,Just look at that #LiveEDM stage! #AdSummitPH #SolarLIVE http://t.co/4CAY9AwwQH,Fri May 09 17:42:05 +0000 2014,ADSummitPH,AD Summit Pilipinas,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_normal.png,http://pbs.twimg.com/media/BnNht9JIEAAbb87.jpg
608,@chriscapili TRUE THAT! http://t.co/KKcmWlBwN8,Fri May 09 17:42:31 +0000 2014,ADSummitPH,AD Summit Pilipinas,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_normal.png,http://pbs.twimg.com/media/BnNh0OIIEAAhtQL.jpg
609,This is #AdSummitPH http://t.co/wyWEHULosM,Fri May 09 17:44:50 +0000 2014,DorkOnTheRun,Htnek,https://pbs.twimg.com/profile_images/458793828749545472/cHJJIahO_normal.jpeg,http://pbs.twimg.com/media/BnNiWB_CQAA7dzh.jpg
610,Wagas walang kupas! #bamboo #adsummitph @ Subic Bay Metropolitan Authority/SBMA http://t.co/azbujZNk59,Fri May 09 17:46:27 +0000 2014,abi_lieve,Abi Katigbak,https://pbs.twimg.com/profile_images/453537274941038592/Yehy7PB6_normal.jpeg,http://videos-b-8.ak.instagram.com/hphotos-ak-prn/10350970_497003167089468_1449969032_n.mp4
