"id","tweet_text","date_created","twitter_name","real_name","profile_pic","embedded_pic"
"139","My really cheesy punch fountain in action at pinkpandamanila at Drink Up Ph #drinkupph http://t.co/4d1nt75qdj","Sat May 24 10:39:19 +0000 2014","erwanjheussaff","Erwan Heussaff","https://pbs.twimg.com/profile_images/378800000640178620/3393f42c24d176e3d0cd9b05d529176a_normal.jpeg","http://photos-d.ak.instagram.com/hphotos-ak-prn/10354568_1438222419767035_466470258_n.jpg"
"138","Drinkupph is happening rn 😩","Sat May 24 10:34:08 +0000 2014","marielatrndd","MARIELL TRINIDAD","https://pbs.twimg.com/profile_images/465159506381373440/BnxK_jBL_normal.jpeg",""
"137","144: At #drinkupph ""drinkin'"" it up with a certain ""ipis"" 😜 Bolt on! Or Roach leg on!...wait. #flyingipis http://t.co/aZ7JPdcozb","Sat May 24 10:27:28 +0000 2014","mack0918","Cristina D","https://pbs.twimg.com/profile_images/378800000472763845/a02c0f07b03092d1859b43e17a8551e8_normal.jpeg","http://photos-h.ak.instagram.com/hphotos-ak-prn/10369331_321893494630095_1781819672_n.jpg"
"136","I think i drankz #DrinkUpPh","Sat May 24 10:25:23 +0000 2014","ginorosales","Gino Rosales","https://pbs.twimg.com/profile_images/1905160147/image_normal.jpg",""
"135","With my favorite drinking buddy at Manila's ultimate drinking festival #drinkupPH @ The Forum http://t.co/0DplOgn7hO","Sat May 24 10:25:16 +0000 2014","stephen_co","Stephen Michael Co","https://pbs.twimg.com/profile_images/2763661365/b067a4ec89235c71ea3772a0b8a7de4d_normal.jpeg","http://scontent-b.cdninstagram.com/hphotos-prn/t51.2885-15/10369529_463600280409457_1909250546_n.jpg"
"134","RT @Amplifyph: If you liked the music at #DrinkUpPh check out the different acts (and many more) at http://t.co/vhie4nlb5B :D @wetheroyal @…","Sat May 24 10:24:52 +0000 2014","wetheroyal","TheRoyal","https://pbs.twimg.com/profile_images/378800000487615362/3aef8ff84e2b97fbb98974f61d7cfab8_normal.jpeg","http://amplify.ph/"
"133","DrinkUpPh is just warming up! Come and Join us! :)","Sat May 24 10:23:10 +0000 2014","loloymarquez","Loloy Marquez","https://pbs.twimg.com/profile_images/464739475860357121/Fx5G6qOx_normal.jpeg",""
"132","Hanging out with an ipis #flyingipis @denguedeng  at #DrinkUpPH http://t.co/PUll2HNvyy","Sat May 24 10:15:38 +0000 2014","thecandieshop","Candie Cobiao","https://pbs.twimg.com/profile_images/2834270067/60a526e1c5d0f6b0de215b83a72c4894_normal.jpeg","http://pbs.twimg.com/media/BoZLVc_IAAAj0mz.jpg"
"131","Love alcohol? Get over here beside the Forum at BGC. Drink Up Philippines is happening NOW!!! #DrinkUpPH http://t.co/j9w7JXzGSH","Sat May 24 10:15:16 +0000 2014","DrinkUpPH","Drink Up Philippines","https://pbs.twimg.com/profile_images/458954229290266624/SUDJutUF_normal.jpeg","http://scontent-b.cdninstagram.com/hphotos-prn/t51.2885-15/10311104_812192942139220_128688204_n.jpg"
"130","That's where my tokens went... 😜 #drinkupph http://t.co/lo5nksz5YG","Sat May 24 10:14:54 +0000 2014","gaki_girl","Gaki","https://pbs.twimg.com/profile_images/1189453748/68213_481271813404_139339703404_5713783_3897700_n_normal.jpg","http://photos-c.ak.instagram.com/hphotos-ak-ash/927300_405517872920522_493502169_n.jpg"
"129","Ice cold beers on a hot summer evening 🍺👌 #DrinkUpPH","Sat May 24 10:14:41 +0000 2014","jennyocana","Jenny Ocana","https://pbs.twimg.com/profile_images/427438262580281344/VVI1LmMX_normal.jpeg",""
"128","All smiles at the country's ultimate drinking festival! #DrinkUpPH http://t.co/1XpNHChBJI","Sat May 24 10:11:23 +0000 2014","DrinkUpPH","Drink Up Philippines","https://pbs.twimg.com/profile_images/458954229290266624/SUDJutUF_normal.jpeg","http://scontent-b.cdninstagram.com/hphotos-ash/t51.2885-15/10358376_380448302094392_910549455_n.jpg"
"127","@drinkupph #drinkupph 🍻 http://t.co/wr1k8RWmiz","Sat May 24 10:10:28 +0000 2014","zhabp","Zhab Pagdagdagan","https://pbs.twimg.com/profile_images/469022360830365696/JC6UpSVt_normal.jpeg","http://photos-g.ak.instagram.com/hphotos-ak-prn/929102_258537677666462_495688323_n.jpg"
"126","Starting off with Xavierbier strawberry beer #DrinkUpPH http://t.co/9QPb1MS98f","Sat May 24 10:07:07 +0000 2014","jinides","Jeanne","https://pbs.twimg.com/profile_images/3722570553/11e0c271126df3bbae3b4227118b485b_normal.jpeg","http://twitpic.com/show/full/e4l9el"
"125","Anyone here wanna buy a Tipsy ticket for @DrinkUpPH? 800 nalang hehehe.","Sat May 24 10:06:48 +0000 2014","JanGuillan12","Jan Guillan Manaog","https://pbs.twimg.com/profile_images/466807848375025665/uPCXnpzl_normal.jpeg",""
"124","Come here beer. #DrinkUpPH","Sat May 24 10:05:41 +0000 2014","mcoymac","Marco F. Macasaet","https://abs.twimg.com/sticky/default_profile_images/default_profile_2_normal.png",""
"123","Drink up! #DrinkUpPH","Sat May 24 10:05:19 +0000 2014","kenmariaknows","Ken Mariano","https://pbs.twimg.com/profile_images/2796485167/5fe156b5741e9bb76a5b937865f2c3c3_normal.jpeg",""
"122","Sun is high and beer is everywhere. #weekend #ultimatedrinking #drinkupph #drunkpackage @ The Forum http://t.co/yFQ91mRK5h","Sat May 24 10:04:51 +0000 2014","godfreycass","Gudo Dimpolito","https://pbs.twimg.com/profile_images/417985732041400322/YucsK1JJ_normal.jpeg","http://photos-d.ak.instagram.com/hphotos-ak-ash/925488_1454041538173299_1468423982_n.jpg"
"121","#chill at #drinkupph CHEERS! #now Fort Bonifacio Forum http://t.co/NbBqK1dueL","Sat May 24 10:03:32 +0000 2014","gaki_girl","Gaki","https://pbs.twimg.com/profile_images/1189453748/68213_481271813404_139339703404_5713783_3897700_n_normal.jpg","http://photos-b.ak.instagram.com/hphotos-ak-prn/10388030_620626001367633_1866320961_n.jpg"
"120","Beer. More beer. More food! #drinkupph","Sat May 24 10:00:36 +0000 2014","mcoymac","Marco F. Macasaet","https://abs.twimg.com/sticky/default_profile_images/default_profile_2_normal.png",""
"119","""Heap of bacon"" from The Perfect Pint!!Ugggghhh amazing salty crunchiness 😭 #DrinkUpPH http://t.co/GdunZSFQRN","Sat May 24 10:00:12 +0000 2014","jennyocana","Jenny Ocana","https://pbs.twimg.com/profile_images/427438262580281344/VVI1LmMX_normal.jpeg","http://pbs.twimg.com/media/BoZH2fCCMAAVhHd.jpg"
"118","RT @gojira99: I nominate @neiltin88 to join this eating contest. #DrinkUpPH","Sat May 24 10:00:11 +0000 2014","Tim0thyEdward","TedNoTed","https://pbs.twimg.com/profile_images/2415724852/i6yeecx2lkjjxckfbp49_normal.jpeg",""
